"Received
Posted","Operator Name
Number",Operator Contact,"Approved Date
API No.
(Scout Card Link)",Type of Permit,Well Name/Number,Objective Formation,Proposed TD,Well Location,Footage Call,Field,County
"03/21/2017
03/24/2017","LARAMIE ENERGY LLC
10433 ","Joan Proulx 
(970) 263-3641 ","05/24/2017
05-077-10390-00",DR ,"Nichols
0994-24-10E ",MESAVERDE ,8280,SENW 24 9S 94W,2257 FNL 2797 FWL,"BRUSH CREEK
7562 ",MESA 
"03/21/2017
03/24/2017","LARAMIE ENERGY LLC
10433 ","Joan Proulx 
(970) 263-3641 ","05/24/2017
05-077-10383-00",DR ,"Nichols Federal
0994-24-20E ",MESAVERDE ,8155,SENW 24 9S 94W,2324 FNL 2790 FWL,"BRUSH CREEK
7562 ",MESA 
"03/21/2017
03/24/2017","LARAMIE ENERGY LLC
10433 ","Joan Proulx 
(970) 263-3641 ","05/24/2017
05-077-10389-00",DR ,"Nichols Federal
0994-24-21E ",MESAVERDE ,8216,SENW 24 9S 94W,2332 FNL 2789 FWL,"BRUSH CREEK
7562 ",MESA 
"03/15/2017
03/21/2017","URSA OPERATING COMPANY LLC
10447 ","CARI MASCIOLI 
(970) 284-3244 ","05/24/2017
05-045-22831-00",DR ,"CSF I
14B-09-07-91 ",WILLIAMS FORK ,9233,NENE 16 7S 91W,343 FNL 1144 FEL,"MAMM CREEK
52500 ",GARFIELD 
"03/15/2017
03/21/2017","URSA OPERATING COMPANY LLC
10447 ","CARI MASCIOLI 
(970) 284-3244 ","05/24/2017
05-045-22833-00",DR ,"CSF I
31D-16-07-91 ",WILLIAMS FORK ,8155,NENE 16 7S 91W,354 FNL 1161 FEL,"MAMM CREEK
52500 ",GARFIELD 
"03/15/2017
03/21/2017","URSA OPERATING COMPANY LLC
10447 ","CARI MASCIOLI 
(970) 284-3244 ","05/24/2017
05-045-22832-00",DR ,"CSF I
42C-16-07-91 ",WILLIAMS FORK ,8283,NENE 16 7S 91W,359 FNL 1169 FEL,"MAMM CREEK
52500 ",GARFIELD 
"03/15/2017
03/21/2017","URSA OPERATING COMPANY LLC
10447 ","CARI MASCIOLI 
(970) 284-3244 ","05/24/2017
05-045-22830-00",DR ,"CSF I
21A-16-07-95 ",WILLIAMS FORK ,8601,NENE 16 7S 91W,348 FNL 1152 FEL,"MAMM CREEK
52500 ",GARFIELD 
"02/09/2017
02/21/2017","AUGUSTUS ENERGY PARTNERS II LLC
10591 ","Duane Zimmerman 
(406) 294-5990 ","05/24/2017
05-103-12289-00",DR ,"BHR FED
O23-14-397-4RH ",NIOBRARA ,20678,SWSE 23 3N 97W,901 FSL 1391 FEL,"WILDCAT
99999 ",RIO BLANCO 
"02/20/2017
03/01/2017","ENERPLUS RESOURCES (USA) CORPORATION
10177 ","Jeff Annable 
(303) 928-7128 ","05/24/2017
05-123-44907-00",DR ,"Bottle
8-67-25-36N ",NIOBRARA ,16644,NENE 25 8N 67W,258 FNL 1199 FEL,"DJ HORIZONTAL NIOBRARA
16950 ",WELD 
"02/20/2017
03/01/2017","ENERPLUS RESOURCES (USA) CORPORATION
10177 ","Jeff Annable 
(303) 928-7128 ","05/24/2017
05-123-44909-00",DR ,"Glass
8-67-25-36C ",CODELL ,16835,NENE 25 8N 67W,343 FNL 1197 FEL,"DJ HORIZONTAL NIOBRARA
16950 ",WELD 
"02/20/2017
03/01/2017","ENERPLUS RESOURCES (USA) CORPORATION
10177 ","Jeff Annable 
(303) 928-7128 ","05/24/2017
05-123-44908-00",DR ,"Can
8-67-25-36C ",CODELL ,16806,NENE 25 8N 67W,308 FNL 1198 FEL,"DJ HORIZONTAL NIOBRARA
16950 ",WELD 
"02/20/2017
03/01/2017","ENERPLUS RESOURCES (USA) CORPORATION
10177 ","Jeff Annable 
(303) 928-7128 ","05/24/2017
05-123-44910-00",DR ,"Mug
8-67-25-36C ",CODELL ,16896,NENE 25 8N 67W,378 FNL 1196 FEL,"DJ HORIZONTAL NIOBRARA
16950 ",WELD 
"02/17/2017
02/27/2017","ENERPLUS RESOURCES (USA) CORPORATION
10177 ","Jeff Annable 
(303) 928-7128 ","05/23/2017
05-123-44904-00",DR ,"Chinook
8-67-33-4C ",CODELL ,16819,NENW 33 8N 67W,448 FNL 1605 FWL,"WILDCAT
99999 ",WELD 
"02/17/2017
02/27/2017","ENERPLUS RESOURCES (USA) CORPORATION
10177 ","Jeff Annable 
(303) 928-7128 ","05/23/2017
05-123-44899-00",DR ,"Liberty
8-67-33-4C ",CODELL ,17092,NENW 33 8N 67W,533 FNL 1606 FWL,"WILDCAT
99999 ",WELD 
"02/17/2017
02/27/2017","ENERPLUS RESOURCES (USA) CORPORATION
10177 ","Jeff Annable 
(303) 928-7128 ","05/23/2017
05-123-44901-00",DR ,"Centennial
8-67-33-4C ",CODELL ,16890,NENW 33 8N 67W,413 FNL 1605 FWL,"WILDCAT
99999 ",WELD 
"02/17/2017
02/27/2017","ENERPLUS RESOURCES (USA) CORPORATION
10177 ","Jeff Annable 
(303) 928-7128 ","05/23/2017
05-123-44903-00",DR ,"Bullion
8-67-33-4N ",NIOBRARA ,16616,NENW 33 8N 67W,343 FNL 1605 FWL,"WILDCAT
99999 ",WELD 
"02/17/2017
02/27/2017","ENERPLUS RESOURCES (USA) CORPORATION
10177 ","Jeff Annable 
(303) 928-7128 ","05/23/2017
05-123-44905-00",DR ,"Cascade
8-67-33-4N ",NIOBRARA ,17145,NENW 33 8N 67W,378 FNL 1605 FWL,"WILDCAT
99999 ",WELD 
"02/17/2017
02/27/2017","ENERPLUS RESOURCES (USA) CORPORATION
10177 ","Jeff Annable 
(303) 928-7128 ","05/23/2017
05-123-44906-00",DR ,"Magnum
8-67-33-4C ",CODELL ,17362,NENW 33 8N 67W,568 FNL 1606 FWL,"WILDCAT
99999 ",WELD 
"02/17/2017
02/27/2017","ENERPLUS RESOURCES (USA) CORPORATION
10177 ","Jeff Annable 
(303) 928-7128 ","05/23/2017
05-123-44900-00",DR ,"Fuggle
8-67-33-4C ",CODELL ,16936,NENW 33 8N 67W,498 FNL 1606 FWL,"WILDCAT
99999 ",WELD 
"02/17/2017
02/27/2017","ENERPLUS RESOURCES (USA) CORPORATION
10177 ","Jeff Annable 
(303) 928-7128 ","05/23/2017
05-123-44902-00",DR ,"Nuggett
8-67-33-4C ",CODELL ,17835,NENW 33 8N 67W,618 FNL 1606 FWL,"WILDCAT
99999 ",WELD 
"03/08/2017
03/14/2017","NOBLE ENERGY INC
100322 ","Jan Kajiwara 
(303) 228-4092 ","05/23/2017
05-123-44897-00",DR ,"Roadrunner Federal
AB11-677 ",NIOBRARA ,16950,NWNW 11 7N 64W,386 FNL 262 FWL,"WATTENBERG
90750 ",WELD 
"03/08/2017
03/14/2017","NOBLE ENERGY INC
100322 ","Jan Kajiwara 
(303) 228-4092 ","05/23/2017
05-123-44898-00",DR ,"Roadrunner Federal
AB11-689 ",NIOBRARA ,16922,NWNW 11 7N 64W,349 FNL 262 FWL,"WATTENBERG
90750 ",WELD 
"04/11/2017
04/18/2017","BP AMERICA PRODUCTION COMPANY
10000 ","Naomi Azulai 
(970) 375-7511 ","05/22/2017
05-067-10003-00",DR ,"STATE MZ
2 ",FRUITLAND COAL ,3532,Lot 4 7 34N 6W,941 FSL 221 FWL,"IGNACIO BLANCO
38300 ",LA PLATA 
"03/30/2017
03/30/2017","TEP ROCKY MOUNTAIN LLC
96850 ","VICKI SCHOEBER 
(970) 263-2721 ","05/22/2017
05-103-12120-00",RC ,"FEDERAL
RG 713-29-298 ",DAKOTA ,14462,LOT 14 29 2S 98W,1100 FSL 1397 FWL,"SULPHUR CREEK
80090 ",RIO BLANCO 
"04/12/2017
04/19/2017","GRAND MESA OPERATING CO
35080 ","Michael Reilly 
(316) 265-3000 ","05/22/2017
05-121-11067-00",DR ,"THE SHOOTIST
1-18 ","MISSISSIPPIAN, PENNSYLVANIAN ",8200,SWSW 18 5S 53W,1320 FSL 820 FWL,"WILDCAT
99999 ",WASHINGTON 
"05/22/2017
05/22/2017","EXTRACTION OIL & GAS LLC
10459 ","Kamrin Ruder 
(720) 9747743 ","05/22/2017
05-069-06464-01",DR ,"Johnsons Corner
13-N ",NIOBRARA ,17025,SWNE 35 5N 68W,2444 FNL 2458 FEL,"WATTENBERG
90750 ",LARIMER 
"11/10/2016
11/14/2016","NOBLE ENERGY INC
100322 ","Justin Garrett 
(303) 228 4449 ","05/22/2017
05-123-44895-00",DR ,"Blackburn
K06-640 ",CODELL ,14245,SENE 6 4N 66W,2423 FNL 263 FEL,"WATTENBERG
90750 ",WELD 
"11/10/2016
11/14/2016","NOBLE ENERGY INC
100322 ","Justin Garrett 
(303) 228 4449 ","05/22/2017
05-123-44896-00",DR ,"Blackburn
K06-645 ",NIOBRARA ,14089,SENE 6 4N 66W,2400 FNL 261 FEL,"WATTENBERG
90750 ",WELD 
"03/30/2017
04/10/2017","PDC ENERGY INC
69175 ","Venessa Chase 
(303) 318-6102 ","05/22/2017
05-123-44889-00",DR ,"Snowmass
4N ",NIOBRARA ,15736,NWNE 5 5N 64W,118 FNL 1798 FEL,"WATTENBERG
90750 ",WELD 
"03/30/2017
04/10/2017","PDC ENERGY INC
69175 ","Venessa Chase 
(303) 318-6102 ","05/22/2017
05-123-44886-00",DR ,"Snowmass
5N ",NIOBRARA ,15407,NWNE 5 5N 64W,128 FNL 1787 FEL,"WATTENBERG
90750 ",WELD 
"03/30/2017
04/10/2017","PDC ENERGY INC
69175 ","Venessa Chase 
(303) 318-6102 ","05/22/2017
05-123-44885-00",DR ,"Snowmass
6N ",NIOBRARA ,15878,NWNE 5 5N 64W,138 FNL 1776 FEL,"WATTENBERG
90750 ",WELD 
"03/30/2017
04/10/2017","PDC ENERGY INC
69175 ","Venessa Chase 
(303) 318-6102 ","05/22/2017
05-123-44887-00",DR ,"Snowmass
2N ",NIOBRARA ,14730,NWNE 5 5N 64W,98 FNL 1820 FEL,"WATTENBERG
90750 ",WELD 
"03/30/2017
04/10/2017","PDC ENERGY INC
69175 ","Venessa Chase 
(303) 318-6102 ","05/22/2017
05-123-44890-00",DR ,"Snowmass
8N ",NIOBRARA ,16002,NWNE 5 5N 64W,158 FNL 1753 FEL,"WATTENBERG
90750 ",WELD 
"03/30/2017
04/10/2017","PDC ENERGY INC
69175 ","Venessa Chase 
(303) 318-6102 ","05/22/2017
05-123-44893-00",DR ,"Snowmass
1C ",CODELL ,14788,NWNE 5 5N 64W,88 FNL 1832 FEL,"WATTENBERG
90750 ",WELD 
"03/30/2017
04/10/2017","PDC ENERGY INC
69175 ","Venessa Chase 
(303) 318-6102 ","05/22/2017
05-123-44891-00",DR ,"Snowmass
9N ",NIOBRARA ,15681,NWNE 5 5N 64W,168 FNL 1742 FEL,"WATTENBERG
90750 ",WELD 
"03/30/2017
04/10/2017","PDC ENERGY INC
69175 ","Venessa Chase 
(303) 318-6102 ","05/22/2017
05-123-44888-00",DR ,"Snowmass
3N ",NIOBRARA ,15300,NWNE 5 5N 64W,108 FNL 1809 FEL,"WATTENBERG
90750 ",WELD 
"03/30/2017
04/10/2017","PDC ENERGY INC
69175 ","Venessa Chase 
(303) 318-6102 ","05/22/2017
05-123-44892-00",DR ,"Snowmass
7N ",NIOBRARA ,15557,NWNE 5 5N 64W,148 FNL 1764 FEL,"WATTENBERG
90750 ",WELD 
"03/30/2017
04/10/2017","PDC ENERGY INC
69175 ","Venessa Chase 
(303) 318-6102 ","05/22/2017
05-123-44894-00",DR ,"Snowmass
10N ",NIOBRARA ,16156,NWNE 5 5N 64W,178 FNL 1731 FEL,"WATTENBERG
90750 ",WELD 
"12/19/2016
12/28/2016","SYNERGY RESOURCES CORPORATION
10311 ","Erin Ekblad 
(720) 616.4319 ","05/22/2017
05-123-44874-00",DR ,"Ag
4N-31B-L ",NIOBRARA ,18369,NENE 32 6N 66W,922 FNL 490 FEL,"WATTENBERG
90750 ",WELD 
"12/19/2016
12/28/2016","SYNERGY RESOURCES CORPORATION
10311 ","Erin Ekblad 
(720) 616.4319 ","05/22/2017
05-123-44878-00",DR ,"Ag
5N-31A-L ",NIOBRARA ,18386,NENE 32 6N 66W,1008 FNL 572 FEL,"WATTENBERG
90750 ",WELD 
"12/19/2016
01/03/2017","SYNERGY RESOURCES CORPORATION
10311 ","Erin Ekblad 
(720) 616.4319 ","05/22/2017
05-123-44882-00",DR ,"Ag
30N-31B-L ",NIOBRARA ,18399,NENE 32 6N 66W,879 FNL 449 FEL,"WATTENBERG
90750 ",WELD 
"12/19/2016
12/28/2016","SYNERGY RESOURCES CORPORATION
10311 ","Erin Ekblad 
(720) 616.4319 ","05/22/2017
05-123-44877-00",DR ,"Ag
32C-31-L ",CODELL ,18685,NENE 32 6N 66W,1022 FNL 585 FEL,"WATTENBERG
90750 ",WELD 
"12/19/2016
12/28/2016","SYNERGY RESOURCES CORPORATION
10311 ","Erin Ekblad 
(720) 616.4319 ","05/22/2017
05-123-44880-00",DR ,"Ag
4C-31-L ",CODELL ,18530,NENE 32 6N 66W,936 FNL 504 FEL,"WATTENBERG
90750 ",WELD 
"12/19/2016
12/28/2016","SYNERGY RESOURCES CORPORATION
10311 ","Erin Ekblad 
(720) 616.4319 ","05/22/2017
05-123-44884-00",DR ,"Ag
30C-31-L ",CODELL ,18545,NENE 32 6N 66W,894 FNL 463 FEL,"WATTENBERG
90750 ",WELD 
"12/19/2016
12/28/2016","SYNERGY RESOURCES CORPORATION
10311 ","Erin Ekblad 
(720) 616.4319 ","05/22/2017
05-123-44876-00",DR ,"Ag
31N-31C-L ",NIOBRARA ,18448,NENE 32 6N 66W,951 FNL 517 FEL,"WATTENBERG
90750 ",WELD 
"12/19/2016
01/03/2017","SYNERGY RESOURCES CORPORATION
10311 ","Erin Ekblad 
(720) 616.4319 ","05/22/2017
05-123-44883-00",DR ,"Ag
4N-31C-L ",NIOBRARA ,18437,NENE 32 6N 66W,908 FNL 477 FEL,"WATTENBERG
90750 ",WELD 
"12/19/2016
12/28/2016","SYNERGY RESOURCES CORPORATION
10311 ","Erin Ekblad 
(720) 616.4319 ","05/22/2017
05-123-44873-00",DR ,"Ag
5C-31-L ",CODELL ,18627,NENE 32 6N 66W,994 FNL 558 FEL,"WATTENBERG
90750 ",WELD 
"12/19/2016
12/28/2016","SYNERGY RESOURCES CORPORATION
10311 ","Erin Ekblad 
(720) 616.4319 ","05/22/2017
05-123-44881-00",DR ,"Ag
31C-31-L ",CODELL ,18553,NENE 32 6N 66W,965 FNL 531 FEL,"WATTENBERG
90750 ",WELD 
"12/19/2016
12/28/2016","SYNERGY RESOURCES CORPORATION
10311 ","Erin Ekblad 
(720) 616.4319 ","05/22/2017
05-123-44875-00",DR ,"Ag
31N-31B-L ",NIOBRARA ,18422,NENE 32 6N 66W,979 FNL 545 FEL,"WATTENBERG
90750 ",WELD 
"12/19/2016
12/28/2016","SYNERGY RESOURCES CORPORATION
10311 ","Erin Ekblad 
(720) 616.4319 ","05/22/2017
05-123-44879-00",DR ,"Ag
32N-31C-L ",NIOBRARA ,18640,NENE 32 6N 66W,1037 FNL 599 FEL,"WATTENBERG
90750 ",WELD 
"02/24/2017
03/06/2017","KERR MCGEE OIL & GAS ONSHORE LP
47120 ","SHAYELYN MARSHALL 
(720) 929 6907 ","05/22/2017
05-123-44868-00",DR ,"COCHRAN
2C-2HZ ",CODELL ,17197,SWNE 11 1N 68W,2412 FNL 1536 FEL,"WATTENBERG
90750 ",WELD 
"02/24/2017
03/06/2017","KERR MCGEE OIL & GAS ONSHORE LP
47120 ","SHAYELYN MARSHALL 
(720) 929 6907 ","05/22/2017
05-123-44870-00",DR ,"COCHRAN
28N2-2HZ ",NIOBRARA ,17169,SWNE 11 1N 68W,2413 FNL 1491 FEL,"WATTENBERG
90750 ",WELD 
"02/24/2017
03/06/2017","KERR MCGEE OIL & GAS ONSHORE LP
47120 ","SHAYELYN MARSHALL 
(720) 929 6907 ","05/22/2017
05-123-44869-00",DR ,"COCHRAN
2N-2HZ ",NIOBRARA ,17040,SWNE 11 1N 68W,2414 FNL 1446 FEL,"WATTENBERG
90750 ",WELD 
"02/24/2017
03/06/2017","KERR MCGEE OIL & GAS ONSHORE LP
47120 ","SHAYELYN MARSHALL 
(720) 929 6907 ","05/22/2017
05-123-44864-00",DR ,"COCHRAN
26C-2HZ ",CODELL ,17278,SWNE 11 1N 68W,2414 FNL 1401 FEL,"WATTENBERG
90750 ",WELD 
"02/24/2017
03/06/2017","KERR MCGEE OIL & GAS ONSHORE LP
47120 ","SHAYELYN MARSHALL 
(720) 929 6907 ","05/22/2017
05-123-44871-00",DR ,"COCHRAN
27N2-2HZ ",NIOBRARA ,17002,SWNE 11 1N 68W,2415 FNL 1386 FEL,"WATTENBERG
90750 ",WELD 
"02/24/2017
03/06/2017","KERR MCGEE OIL & GAS ONSHORE LP
47120 ","SHAYELYN MARSHALL 
(720) 929 6907 ","05/22/2017
05-123-44867-00",DR ,"COCHRAN
28N1-2HZ ",NIOBRARA ,17091,SWNE 11 1N 68W,2413 FNL 1521 FEL,"WATTENBERG
90750 ",WELD 
"02/24/2017
03/06/2017","KERR MCGEE OIL & GAS ONSHORE LP
47120 ","SHAYELYN MARSHALL 
(720) 929 6907 ","05/22/2017
05-123-44872-00",DR ,"COCHRAN
27C-2HZ ",CODELL ,17271,SWNE 11 1N 68W,2413 FNL 1476 FEL,"WATTENBERG
90750 ",WELD 
"02/24/2017
03/06/2017","KERR MCGEE OIL & GAS ONSHORE LP
47120 ","SHAYELYN MARSHALL 
(720) 929 6907 ","05/22/2017
05-123-44865-00",DR ,"COCHRAN
1N-2HZ ",NIOBRARA ,17250,SWNE 11 1N 68W,2415 FNL 1356 FEL,"WATTENBERG
90750 ",WELD 
"02/24/2017
03/06/2017","KERR MCGEE OIL & GAS ONSHORE LP
47120 ","SHAYELYN MARSHALL 
(720) 929 6907 ","05/22/2017
05-123-44866-00",DR ,"COCHRAN
27N1-2HZ ",NIOBRARA ,17137,SWNE 11 1N 68W,2414 FNL 1431 FEL,"WATTENBERG
90750 ",WELD 
"03/24/2017
04/10/2017","BP AMERICA PRODUCTION COMPANY
10000 ","Naomi Azulai 
(970) 375-7511 ","05/18/2017
05-067-10002-01",DR ,"FISCHER-MARK FEDERAL B
5 ",FRUITLAND COAL ,5688,SESE 4 34N 6W,987 FSL 1013 FEL,"IGNACIO BLANCO
38300 ",LA PLATA 
"03/27/2017
04/10/2017","BP AMERICA PRODUCTION COMPANY
10000 ","Naomi Azulai 
(970) 375-7511 ","05/18/2017
05-067-10002-02",DR ,"FISCHER-MARK FEDERAL B
5 ",FRUITLAND COAL ,5639,SESE 4 34N 6W,987 FSL 1013 FEL,"IGNACIO BLANCO
38300 ",LA PLATA 
"03/08/2017
03/14/2017","PDC ENERGY INC
69175 ","Venessa Chase 
(303) 318-6102 ","05/18/2017
05-123-44858-00",DR ,"Geib
26V-214 ",NIOBRARA ,16999,NENE 26 5N 65W,1193 FNL 400 FEL,"WATTENBERG
90750 ",WELD 
"03/08/2017
03/14/2017","PDC ENERGY INC
69175 ","Venessa Chase 
(303) 318-6102 ","05/18/2017
05-123-44861-00",DR ,"Geib
26V-234 ",NIOBRARA ,17007,NENE 26 5N 65W,1223 FNL 400 FEL,"WATTENBERG
90750 ",WELD 
"03/08/2017
03/14/2017","PDC ENERGY INC
69175 ","Venessa Chase 
(303) 318-6102 ","05/18/2017
05-123-44863-00",DR ,"Geib
26U-304 ",NIOBRARA ,17171,NENE 26 5N 65W,1148 FNL 400 FEL,"WATTENBERG
90750 ",WELD 
"03/08/2017
03/14/2017","PDC ENERGY INC
69175 ","Venessa Chase 
(303) 318-6102 ","05/18/2017
05-123-44860-00",DR ,"Geib
26V-314 ",NIOBRARA ,17088,NENE 26 5N 65W,1178 FNL 400 FEL,"WATTENBERG
90750 ",WELD 
"03/08/2017
03/14/2017","PDC ENERGY INC
69175 ","Venessa Chase 
(303) 318-6102 ","05/18/2017
05-123-44862-00",DR ,"Geib
26V-334 ",NIOBRARA ,17092,NENE 26 5N 65W,1238 FNL 400 FEL,"WATTENBERG
90750 ",WELD 
"03/08/2017
03/14/2017","PDC ENERGY INC
69175 ","Venessa Chase 
(303) 318-6102 ","05/18/2017
05-123-44857-00",DR ,"Geib
26W-304 ",NIOBRARA ,17158,NENE 26 5N 65W,1268 FNL 400 FEL,"WATTENBERG
90750 ",WELD 
"03/08/2017
03/14/2017","PDC ENERGY INC
69175 ","Venessa Chase 
(303) 318-6102 ","05/18/2017
05-123-44855-00",DR ,"Geib
26U-134 ",NIOBRARA ,16929,NENE 26 5N 65W,1163 FNL 400 FEL,"WATTENBERG
90750 ",WELD 
"03/08/2017
03/14/2017","PDC ENERGY INC
69175 ","Venessa Chase 
(303) 318-6102 ","05/18/2017
05-123-44856-00",DR ,"Geib
26V-304 ",NIOBRARA ,17069,NENE 26 5N 65W,1208 FNL 400 FEL,"WATTENBERG
90750 ",WELD 
"03/08/2017
03/14/2017","PDC ENERGY INC
69175 ","Venessa Chase 
(303) 318-6102 ","05/18/2017
05-123-44859-00",DR ,"Geib
26W-214 ",NIOBRARA ,17055,NENE 26 5N 65W,1253 FNL 400 FEL,"WATTENBERG
90750 ",WELD 
"03/27/2017
04/10/2017","BP AMERICA PRODUCTION COMPANY
10000 ","Naomi Azulai 
(970) 375-7511 ","05/18/2017
05-067-10002-00",DR ,"FISCHER-MARK FEDERAL B
5 ",FRUITLAND COAL ,2849,SESE 4 34N 6W,987 FSL 1013 FEL,"IGNACIO BLANCO
38300 ",LA PLATA 
"02/03/2017
02/13/2017","CUB CREEK ENERGY
10542 ","Paul Gottlob 
(720) 420-5747 ","05/16/2017
05-123-44854-00",DR ,"Litzenberger
1 ",NIOBRARA ,12112,SENE 8 3N 68W,1928 FNL 1229 FEL,"WATTENBERG
90750 ",WELD 
"02/03/2017
02/13/2017","CUB CREEK ENERGY
10542 ","Paul Gottlob 
(720) 420-5747 ","05/16/2017
05-123-44853-00",DR ,"Litzenberger
3 ",NIOBRARA ,11999,SENE 8 3N 68W,1928 FNL 1199 FEL,"WATTENBERG
90750 ",WELD 
"02/03/2017
02/13/2017","CUB CREEK ENERGY
10542 ","Paul Gottlob 
(720) 420-5747 ","05/16/2017
05-123-44852-00",DR ,"Litzenberger
2 ",CODELL ,12269,SENE 8 3N 68W,1928 FNL 1214 FEL,"WATTENBERG
90750 ",WELD 
"03/28/2017
04/06/2017","TEP ROCKY MOUNTAIN LLC
96850 ","Vicki Schoeber 
(970) 263-2721 ","05/15/2017
05-045-22654-00",RC ,"WPX SG
922-32D ","ROLLINS, WILLIAMS FORK ",5576,SENW 32 7S 96W,2401 FNL 2198 FWL,"GRAND VALLEY
31290 ",GARFIELD 
"04/07/2017
04/17/2017","WHITING OIL & GAS CORPORATION
96155 ","Michael Brown 
(307) 237-9310 ","05/15/2017
05-123-44850-00",DR ,"Razor
27L-3402 ",CODELL ,13623,NWSW 27 10N 58W,2442 FSL 256 FWL,"WILDCAT
99999 ",WELD 
"04/12/2017
04/20/2017","FIFTH CREEK ENERGY OPERATING COMPANY LLC
10629 ","Sydney Smith 
(303) 910-4511 ","05/15/2017
05-123-44849-00",DR ,"Critter Creek
295-2425H ",NIOBRARA ,17868,NENE 24 11N 63W,210 FNL 1038 FEL,"HEREFORD
34200 ",WELD 
"04/12/2017
04/20/2017","FIFTH CREEK ENERGY OPERATING COMPANY LLC
10629 ","Sydney Smith 
(303) 910-4511 ","05/15/2017
05-123-44848-00",DR ,"Critter Creek
294-2425H ",NIOBRARA ,17869,NWNE 24 11N 63W,210 FNL 1638 FEL,"HEREFORD
34200 ",WELD 
"04/12/2017
04/20/2017","FIFTH CREEK ENERGY OPERATING COMPANY LLC
10629 ","Sydney Smith 
(303) 910-4511 ","05/15/2017
05-123-44851-00",DR ,"Critter Creek
296-2425H ",NIOBRARA ,17900,NENE 24 11N 63W,210 FNL 938 FEL,"HEREFORD
34200 ",WELD 
"04/07/2017
04/17/2017","WHITING OIL & GAS CORPORATION
96155 ","Michael Brown 
(307) 237-9310 ","05/15/2017
05-123-44850-00",DR ,"Razor
27L-3402 ",NIOBRARA ,13623,NWSW 27 10N 58W,2442 FSL 256 FWL,"WILDCAT
99999 ",WELD 
"03/23/2017
04/13/2017","NIGHTHAWK PRODUCTION LLC
10399 ","Joyce Henkin 
(303) 407-9609 ","05/15/2017
05-073-06721-00",DR ,"MARY JANE
5-5 ","LANSING-KANSAS CITY, WOLFCAMP, MISSISSIPPIAN-SPERGEN ",8800,SWNW 5 7S 54W,1388 FNL 654 FWL,"BROKEN SPEAR
7567 ",LINCOLN 
"03/23/2017
04/13/2017","NIGHTHAWK PRODUCTION LLC
10399 ","Joyce Henkin 
(303) 407-9609 ","05/15/2017
05-073-06722-00",DR ,"MARY JANE
13-5 ",ATOKA ,8800,SWSW 5 7S 54W,982 FSL 658 FWL,"BROKEN SPEAR
7567 ",LINCOLN 
"04/07/2017
04/17/2017","GRAND MESA OPERATING CO
35080 ","Michael Reilly 
(316) 265-3000 ","05/15/2017
05-121-11066-00",DR ,"THE SEARCHERS
2-25 ",PENNSYLVANIAN ,8200,SENE 25 5S 54W,2616 FNL 770 FEL,"WILDCAT
99999 ",WASHINGTON 
"03/23/2017
04/13/2017","NIGHTHAWK PRODUCTION LLC
10399 ","Joyce Henkin 
(303) 407-9609 ","05/15/2017
05-073-06722-00",DR ,"MARY JANE
13-5 ","MARMATON, MISSISSIPPIAN-SPERGEN, WOLFCAMP ",8800,SWSW 5 7S 54W,982 FSL 658 FWL,"BROKEN SPEAR
7567 ",LINCOLN 
"04/07/2017
04/17/2017","GRAND MESA OPERATING CO
35080 ","Michael Reilly 
(316) 265-3000 ","05/15/2017
05-121-11066-00",DR ,"THE SEARCHERS
2-25 ",MISSISSIPPIAN ,8200,SENE 25 5S 54W,2616 FNL 770 FEL,"WILDCAT
99999 ",WASHINGTON 
"04/11/2017
04/18/2017","GRAND MESA OPERATING CO
35080 ","MICHAEL REILLY 
(316) 265-3000 ","05/15/2017
05-121-11065-00",DR ,"RIO LOBO
1-30 ",PENNSYLVANIAN ,8200,SWNW 30 5S 53W,2474 FNL 610 FWL,"WILDCAT
99999 ",WASHINGTON 
"03/23/2017
04/13/2017","NIGHTHAWK PRODUCTION LLC
10399 ","Joyce Henkin 
(303) 407-9609 ","05/15/2017
05-073-06721-00",DR ,"MARY JANE
5-5 ","ATOKA, CHEROKEE, MARMATON ",8800,SWNW 5 7S 54W,1388 FNL 654 FWL,"BROKEN SPEAR
7567 ",LINCOLN 
"03/23/2017
04/13/2017","NIGHTHAWK PRODUCTION LLC
10399 ","Joyce Henkin 
(303) 407-9609 ","05/15/2017
05-073-06722-00",DR ,"MARY JANE
13-5 ","CHEROKEE, LANSING-KANSAS CITY ",8800,SWSW 5 7S 54W,982 FSL 658 FWL,"BROKEN SPEAR
7567 ",LINCOLN 
"04/11/2017
04/18/2017","GRAND MESA OPERATING CO
35080 ","MICHAEL REILLY 
(316) 265-3000 ","05/15/2017
05-121-11065-00",DR ,"RIO LOBO
1-30 ",MISSISSIPPIAN ,8200,SWNW 30 5S 53W,2474 FNL 610 FWL,"WILDCAT
99999 ",WASHINGTON 
"01/04/2017
01/12/2017","NOBLE ENERGY INC
100322 ","Justin Garrett 
(303) 228 4449 ","05/15/2017
05-123-44844-00",DR ,"Waste Management
Y23-728 ",NIOBRARA ,19352,NENE 11 2N 64W,787 FNL 831 FEL,"WATTENBERG
90750 ",WELD 
"01/04/2017
01/12/2017","NOBLE ENERGY INC
100322 ","Justin Garrett 
(303) 228 4449 ","05/15/2017
05-123-44845-00",DR ,"Waste Management
Y23-768 ",NIOBRARA ,19440,NWNW 11 2N 64W,787 FNL 991 FWL,"WATTENBERG
90750 ",WELD 
